,Team_x,Athlete,Year
0,AUS,Kaylee Mckeown,2020
1,CAN,Kylie Masse,2020
2,USA,Regan Smith,2020
3,USA,Rhyan Elizabeth White,2020
4,AUS,Emily Seebohm,2020
5,GBR,Kathleen Dawson,2020
6,NED,Kira Toussaint,2020
7,ISR,Anastasya Gorbenko,2020
8,USA,Lydia Jacoby,2020
9,RSA,Tatjana Schoenmaker,2020
10,USA,Lilly King,2020
11,ROC,Evgeniia Chikunova,2020
12,ROC,Yuliya Efimova,2020
13,SWE,Sophie Hansson,2020
14,ITA,Martina Carraro,2020
15,IRL,Mona Mc Sharry,2020
16,CAN,Margaret Mac Neil,2020
17,CHN,Yufei Zhang,2020
18,AUS,Emma Mckeon,2020
19,USA,Torri Huske,2020
20,SWE,Louise Hansson,2020
21,FRA,Marie Wattel,2020
22,SWE,Sarah Sjoestroem,2020
23,BLR,Anastasiya Shkurdai,2020
24,AUS,Emma Mckeon,2020
25,HKG,Siobhan Bernadette Haughey,2020
26,AUS,Cate Campbell,2020
27,CAN,Penny Oleksiak,2020
28,SWE,Sarah Sjoestroem,2020
29,NED,Femke Heemskerk,2020
30,GBR,Anna Hopkin,2020
31,USA,Abbey Weitzeil,2020
32,USA,Katie Ledecky,2020
33,USA,Erica Sullivan,2020
34,GER,Sarah Kohler,2020
35,CHN,Jianjiahe Wang,2020
36,ITA,Simona Quadarella,2020
37,AUS,Kiah Melverton,2020
38,ROC,Anastasiia Kirpichnikova,2020
39,AUS,Maddy Gough,2020
40,AUS,Kaylee Mckeown,2020
41,CAN,Kylie Masse,2020
42,AUS,Emily Seebohm,2020
43,USA,Rhyan Elizabeth White,2020
44,USA,Phoebe Bacon,2020
45,CAN,Taylor Madison Ruck,2020
46,CHN,Xuwei Peng,2020
47,CHN,Yaxin Liu,2020
48,RSA,Tatjana Schoenmaker,2020
49,USA,Lilly King,2020
50,USA,Annie Lazor,2020
51,ROC,Evgeniia Chikunova,2020
52,RSA,Kaylene Corbett,2020
53,GBR,Molly Renshaw,2020
54,GBR,Abbie Wood,2020
55,BEL,Fanny Lecluyse,2020
56,CHN,Yufei Zhang,2020
57,USA,Regan Smith,2020
58,USA,Hali Flickinger,2020
59,HUN,Boglarka Kapas,2020
60,ROC,Svetlana Chimrova,2020
61,CHN,Liyan Yu,2020
62,GBR,Alys Margaret Thomas,2020
63,AUS,Brianna Throssell,2020
64,AUS,Ariarne Titmus,2020
65,HKG,Siobhan Bernadette Haughey,2020
66,CAN,Penny Oleksiak,2020
67,CHN,Junxuan Yang,2020
68,USA,Katie Ledecky,2020
69,CZE,Barbora Seemanova,2020
70,ITA,Federica Pellegrini,2020
71,AUS,Madison Wilson,2020
72,JPN,Yui Ohashi,2020
73,USA,Alex Walsh,2020
74,USA,Kate Douglass,2020
75,GBR,Abbie Wood,2020
76,CHN,Yiting Yu,2020
77,CAN,Sydney Pickrem,2020
78,HUN,Katinka Hosszu,2020
79,GBR,Alicia Wilson,2020
80,AUS,Ariarne Titmus,2020
81,USA,Katie Ledecky,2020
82,CHN,Bingjie Li,2020
83,CAN,Summer Mcintosh,2020
84,CHN,Muhan Tang,2020
85,GER,Isabel Gose,2020
86,USA,Paige Madden,2020
87,NZL,Erika Fairweather,2020
88,AUS,Ariarne Titmus,2020
89,USA,Katie Ledecky,2020
90,CHN,Bingjie Li,2020
91,CAN,Summer Mcintosh,2020
92,CHN,Muhan Tang,2020
93,GER,Isabel Gose,2020
94,USA,Paige Madden,2020
95,NZL,Erika Fairweather,2020
96,AUS,Emma Mckeon,2020
97,SWE,Sarah Sjoestroem,2020
98,DEN,Pernille Blume,2020
99,NED,Ranomi Kromowidjojo,2020
100,POL,Katarzyna Wasick,2020
101,CHN,Qingfeng Wu,2020
102,AUS,Cate Campbell,2020
103,USA,Abbey Weitzeil,2020
104,USA,Katie Ledecky,2020
105,AUS,Ariarne Titmus,2020
106,ITA,Simona Quadarella,2020
107,USA,Katie Grimes,2020
108,CHN,Jianjiahe Wang,2020
109,AUS,Kiah Melverton,2020
110,GER,Sarah Kohler,2020
111,ROC,Anastasiia Kirpichnikova,2020
112,HUN,Katinka Hosszu,2016
113,USA,Kathleen Baker,2016
114,CAN,Kylie Masse,2016
115,CHN,Yuanhui Fu,2016
116,DEN,Mie Nielsen,2016
117,USA,Olivia Smoliga,2016
118,AUS,Emily Seebohm,2016
119,AUS,Madison Wilson,2016
120,USA,Lilly King,2016
121,RUS,Yuliya Efimova,2016
122,USA,Katie Meili,2016
123,CHN,Jinglin Shi,2016
124,CAN,Rachel Nicol,2016
125,ISL,Hrafnhildur Luthersdottir,2016
126,LTU,Ruta Meilutyte,2016
127,JAM,Alia Atkinson,2016
128,SWE,Sarah Sjostrom,2016
129,CAN,Penny Oleksiak,2016
130,USA,Dana Vollmer,2016
131,CHN,Ying Lu,2016
132,JPN,Rikako Ikee,2016
133,AUS,Emma Mckeon,2016
134,DEN,Jeanette Ottesen,2016
135,USA,Kelsi Worrell,2016
136,USA,Simone Manuel,2016
137,CAN,Penny Oleksiak,2016
138,SWE,Sarah Sjostrom,2016
139,AUS,Bronte Campbell,2016
140,NED,Ranomi Kromowidjojo,2016
141,AUS,Cate Campbell,2016
142,USA,Abbey Weitzeil,2016
143,DEN,Jeanette Ottesen,2016
144,USA,Madeline Dirado,2016
145,HUN,Katinka Hosszu,2016
146,CAN,Hilary Caldwell,2016
147,RUS,Daria Ustinova,2016
148,AUS,Belinda Hocking,2016
149,ZIM,Kirsty Leigh Coventry,2016
150,CHN,Yaxin Liu,2016
151,ISL,Eyglo Gustafsdottir,2016
152,ESP,Mireia Belmonte,2016
153,AUS,Madeline Groves,2016
154,JPN,Natsumi Hoshi,2016
155,USA,Cammile Adams,2016
156,CHN,Yilin Zhou,2016
157,CHN,Yufei Zhang,2016
158,USA,Hali Flickinger,2016
159,AUS,Brianna Throssell,2016
160,USA,Katie Ledecky,2016
161,SWE,Sarah Sjostrom,2016
162,AUS,Emma Mckeon,2016
163,ITA,Federica Pellegrini,2016
164,CHN,Duo Shen,2016
165,AUS,Bronte Barratt,2016
166,SWE,Michelle Coleman,2016
167,FRA,Charlotte Bonnet,2016
168,HUN,Katinka Hosszu,2016
169,GBR,Siobhan-Marie Oconnor,2016
170,USA,Madeline Dirado,2016
171,USA,Melanie Margalis,2016
172,AUS,Alicia Coutts,2016
173,CAN,Sydney Pickrem,2016
174,RUS,Viktoriya Andreyeva,2016
175,CHN,Shiwen Ye,2016
176,USA,Katie Ledecky,2016
177,GBR,Jazz Carlin,2016
178,USA,Leah Smith,2016
179,HUN,Boglarka Kapas,2016
180,CAN,Brittany Maclean,2016
181,AUS,Tamsin Cook,2016
182,AUS,Jessica Ashwood,2016
183,FRA,Coralie Balmy,2016
184,HUN,Katinka Hosszu,2016
185,USA,Madeline Dirado,2016
186,ESP,Mireia Belmonte,2016
187,GBR,Hannah Miley,2016
188,CAN,Emily Overholt,2016
189,USA,Elizabeth Beisel,2016
190,GBR,Aimee Willmott,2016
191,JPN,Sakiko Shimizu,2016
192,AUS,Emma Mckeon,2016
192,AUS,Madison Wilson,2016
192,AUS,Bronte Campbell,2016
192,AUS,Brittany Elmslie,2016
192,AUS,Cate Campbell,2016
193,USA,Simone Manuel,2016
193,USA,Lia Neal,2016
193,USA,Dana Vollmer,2016
193,USA,Allison Schmitt,2016
193,USA,Amanda Weir,2016
193,USA,Katie Ledecky,2016
193,USA,Abbey Weitzeil,2016
194,CAN,Chantal Van Landeghem,2016
194,CAN,Penny Oleksiak,2016
194,CAN,Sandrine Mainville,2016
194,CAN,Taylor Madison Ruck,2016
194,CAN,Michelle Williams,2016
195,NZ,Maud Van Der Meer,2016
195,NZ,Ranomi Kromowidjojo,2016
195,NZ,Marrit Steenbergen,2016
195,NZ,Inge Dekker,2016
195,NZ,Femke Heemskerk,2016
196,SWE,Sarah Sjostrom,2016
196,SWE,Michelle Coleman,2016
196,SWE,Louise Hansson,2016
196,SWE,Ida Lindborg,2016
196,SWE,Ida Marko-Varga,2016
197,NL,Erika Ferraioli,2016
197,NL,Aglaia Pezzato,2016
197,NL,Federica Pellegrini,2016
197,NL,Silvia Di Pietro,2016
198,FRA,Mathilde Cini,2016
198,FRA,Beryl Gastaldello,2016
198,FRA,Anna Santamans,2016
198,FRA,Charlotte Bonnet,2016
199,JPN,Yayoi Matsumoto,2016
199,JPN,Rikako Ikee,2016
199,JPN,Miki Uchida,2016
199,JPN,Misaki Yamaguchi,2016
200,USA,Kathleen Baker,2016
200,USA,Lilly King,2016
200,USA,Kelsi Worrell,2016
200,USA,Katie Meili,2016
200,USA,Dana Vollmer,2016
200,USA,Olivia Smoliga,2016
200,USA,Simone Manuel,2016
200,USA,Abbey Weitzeil,2016
201,AUS,Madison Wilson,2016
201,AUS,Emily Seebohm,2016
201,AUS,Taylor Mckeown,2016
201,AUS,Emma Mckeon,2016
201,AUS,Brittany Elmslie,2016
201,AUS,Madeline Groves,2016
201,AUS,Cate Campbell,2016
202,DEN,Rikke Moller Pedersen,2016
202,DEN,Mie Nielsen,2016
202,DEN,Jeanette Ottesen,2016
202,DEN,Pernille Blume,2016
203,CHN,,2016
204,CAN,,2016
205,RUS,,2016
206,GBR,,2016
207,ITA,Ilaria Bianchi,2016
207,ITA,Carlotta Zofkova,2016
207,ITA,Federica Pellegrini,2016
207,ITA,Arianna Castiglioni,2016
208,USA,Katie Ledecky,2016
208,USA,Allison Schmitt,2016
208,USA,Madeline Dirado,2016
208,USA,Leah Smith,2016
208,USA,Missy Franklin,2016
208,USA,Melanie Margalis,2016
208,USA,Cierra Runge,2016
209,AUS,Jessica Ashwood,2016
209,AUS,Bronte Barratt,2016
209,AUS,Emma Mckeon,2016
209,AUS,Tamsin Cook,2016
209,AUS,Leah Neale,2016
210,CAN,Emily Overholt,2016
210,CAN,Taylor Madison Ruck,2016
210,CAN,Penny Oleksiak,2016
210,CAN,Brittany Maclean,2016
210,CAN,Katerine Savard,2016
210,CAN,Kennedy Goss,2016
211,CHN,Yuhan Zhang,2016
211,CHN,Jie Dong,2016
211,CHN,Duo Shen,2016
211,CHN,Yanhan Ai,2016
211,CHN,Shijia Wang,2016
212,SWE,Michelle Coleman,2016
212,SWE,Louise Hansson,2016
212,SWE,Ida Marko-Varga,2016
212,SWE,Sarah Sjostrom,2016
213,HUN,Zsuzsanna Jakabos,2016
213,HUN,Evelin Verraszto,2016
213,HUN,Ajna Kesely,2016
213,HUN,Boglarka Kapas,2016
213,HUN,Katinka Hosszu,2016
214,RUS,Arina Openysheva,2016
214,RUS,Daria Ustinova,2016
214,RUS,Veronika Popova,2016
215,JPN,Rikako Ikee,2016
215,JPN,Chihiro Igarashi,2016
215,JPN,Sachi Mochida,2016
215,JPN,Tomomi Aoki,2016
216,DEN,Pernille Blume,2016
217,USA,Simone Manuel,2016
218,BLR,Aliaksandra Herasimenia,2016
219,GBR,Francesca Halsall,2016
220,AUS,Cate Campbell,2016
221,NED,Ranomi Kromowidjojo,2016
222,AUS,Bronte Campbell,2016
223,BRA,Etiene Medeiros,2016
224,USA,Katie Ledecky,2016
225,GBR,Jazz Carlin,2016
226,HUN,Boglarka Kapas,2016
227,ESP,Mireia Belmonte,2016
228,AUS,Jessica Ashwood,2016
229,USA,Leah Smith,2016
230,DEN,Lotte Friis,2016
231,GER,Sarah Kohler,2016
232,USA,Missy Franklin,2012
233,AUS,Emily Seebohm,2012
234,JPN,Aya Terakawa,2012
235,RUS,Anastasia Zueva,2012
236,GBR,Gemma Spofforth,2012
237,CHN,Jing Zhao,2012
238,AUS,Belinda Hocking,2012
239,CHN,Yuanhui Fu,2012
240,LTU,Ruta Meilutyte,2012
241,USA,Rebecca Soni,2012
242,JPN,Satomi Suzuki,2012
243,JAM,Alia Atkinson,2012
244,AUS,Leisel Jones,2012
245,USA,Breeja Larson,2012
246,RUS,Yuliya Efimova,2012
247,DEN,Rikke Moller Pedersen,2012
248,USA,Dana Vollmer,2012
249,CHN,Ying Lu,2012
250,AUS,Alicia Coutts,2012
251,SWE,Sarah Sjostrom,2012
252,ITA,Ilaria Bianchi,2012
253,DEN,Jeanette Ottesen,2012
254,USA,Claire Donahue,2012
255,GBR,Ellen Gandy,2012
256,NED,Ranomi Kromowidjojo,2012
257,BLR,Aliaksandra Herasimenia,2012
258,CHN,Yi Tang,2012
259,AUS,Melanie Schlanger,2012
260,USA,Missy Franklin,2012
261,GBR,Francesca Halsall,2012
262,DEN,Jeanette Ottesen,2012
263,USA,Jessica Hardy,2012
264,USA,Missy Franklin,2012
265,RUS,Anastasia Zueva,2012
266,USA,Elizabeth Beisel,2012
267,GBR,Elizabeth Simmonds,2012
268,AUS,Meagen Nay,2012
269,ZIM,Kirsty Leigh Coventry,2012
270,FRA,Alexianne Castel,2012
271,CAN,Sinead Russell,2012
272,USA,Rebecca Soni,2012
273,JPN,Satomi Suzuki,2012
274,RUS,Yuliya Efimova,2012
275,DEN,Rikke Moller Pedersen,2012
276,CAN,Martha Mccabe,2012
277,USA,Micah Lawrence,2012
278,RSA,Suzaan Van Biljon,2012
279,AUS,Sally Foster,2012
280,CHN,Liuyang Jiao,2012
281,ESP,Mireia Belmonte,2012
282,JPN,Natsumi Hoshi,2012
283,USA,Kathleen Hersey,2012
284,USA,Cammile Adams,2012
285,GBR,Jemma Lowe,2012
286,HUN,Zsuzsanna Jakabos,2012
287,CHN,Zige Liu,2012
288,USA,Allison Schmitt,2012
289,FRA,Camille Muffat,2012
290,AUS,Bronte Barratt,2012
291,USA,Missy Franklin,2012
292,ITA,Federica Pellegrini,2012
293,RUS,Veronika Popova,2012
294,GBR,Caitlin Mcclatchey,2012
295,AUS,Kylie Palmer,2012
296,CHN,Shiwen Ye,2012
297,AUS,Alicia Coutts,2012
298,USA,Caitlin Leverenz,2012
299,AUS,Stephanie Rice,2012
300,USA,Ariana Kukors,2012
301,ZIM,Kirsty Leigh Coventry,2012
302,GBR,Hannah Miley,2012
303,HUN,Katinka Hosszu,2012
304,FRA,Camille Muffat,2012
305,USA,Allison Schmitt,2012
306,GBR,Rebecca Adlington,2012
307,DEN,Lotte Friis,2012
308,ITA,Federica Pellegrini,2012
309,FRA,Coralie Balmy,2012
310,CAN,Brittany Maclean,2012
311,NZL,Lauren Boyle,2012
312,CHN,Shiwen Ye,2012
313,USA,Elizabeth Beisel,2012
314,CHN,Xuanxu Li,2012
315,HUN,Katinka Hosszu,2012
316,GBR,Hannah Miley,2012
317,AUS,Stephanie Rice,2012
318,USA,Caitlin Leverenz,2012
319,ESP,Mireia Belmonte,2012
320,AUS,Libby Trickett,2012
320,AUS,Brittany Elmslie,2012
320,AUS,Yolane Kukla,2012
320,AUS,Melanie Schlanger,2012
320,AUS,Emily Seebohm,2012
320,AUS,Alicia Coutts,2012
320,AUS,Cate Campbell,2012
321,NLD,Ranomi Kromowidjojo,2012
321,NLD,Hinkelien Schreuder,2012
321,NLD,Inge Dekker,2012
321,NLD,Marleen Veldhuis,2012
321,NLD,Femke Heemskerk,2012
322,USA,Jessica Hardy,2012
322,USA,Lia Neal,2012
322,USA,Amanda Weir,2012
322,USA,Allison Schmitt,2012
322,USA,Natalie Coughlin,2012
322,USA,Missy Franklin,2012
323,CHN,Yi Tang,2012
323,CHN,Jiaying Pang,2012
323,CHN,Yuhan Qiu,2012
323,CHN,Haibing Wang,2012
323,CHN,Shijia Wang,2012
324,GBR,Jess Lloyd,2012
324,GBR,Rebecca Turner,2012
324,GBR,Amy Smith,2012
324,GBR,Caitlin Mcclatchey,2012
324,GBR,Francesca Halsall,2012
325,DEN,Lotte Friis,2012
325,DEN,Mie Nielsen,2012
325,DEN,Jeanette Ottesen,2012
325,DEN,Pernille Blume,2012
326,JPN,Hanae Ito,2012
326,JPN,Haruka Ueda,2012
326,JPN,Miki Uchida,2012
326,JPN,Yayoi Matsumoto,2012
327,SWE,Michelle Coleman,2012
327,SWE,Gabriella Fagundez,2012
327,SWE,Sarah Sjostrom,2012
327,SWE,Ida Marko-Varga,2012
328,USA,Jessica Hardy,2012
328,USA,Allison Schmitt,2012
328,USA,Rebecca Soni,2012
328,USA,Dana Vollmer,2012
328,USA,Breeja Larson,2012
328,USA,Claire Donahue,2012
328,USA,Rachel Bootsma,2012
328,USA,Missy Franklin,2012
329,AUS,Brittany Elmslie,2012
329,AUS,Alicia Coutts,2012
329,AUS,Melanie Schlanger,2012
329,AUS,Leisel Jones,2012
329,AUS,Emily Seebohm,2012
330,JPN,Aya Terakawa,2012
330,JPN,Yuka Kato,2012
330,JPN,Haruka Ueda,2012
330,JPN,Satomi Suzuki,2012
331,RUS,Yuliya Efimova,2012
331,RUS,Irina Bespalova,2012
331,RUS,Anastasia Zueva,2012
331,RUS,Maria Gromova,2012
331,RUS,Veronika Popova,2012
332,CHN,Liuyang Jiao,2012
332,CHN,Yi Tang,2012
332,CHN,Liping Ji,2012
332,CHN,Chang Gao,2012
332,CHN,Ying Lu,2012
332,CHN,Ye Sun,2012
332,CHN,Jing Zhao,2012
333,NLD,Femke Heemskerk,2012
333,NLD,Sharon Van Rouwendaal,2012
333,NLD,Inge Dekker,2012
333,NLD,Moniek Nijhuis,2012
333,NLD,Ranomi Kromowidjojo,2012
334,DEN,Pernille Blume,2012
334,DEN,Mie Nielsen,2012
334,DEN,Jeanette Ottesen,2012
334,DEN,Rikke Moller Pedersen,2012
335,GBR,Gemma Spofforth,2012
335,GBR,Francesca Halsall,2012
335,GBR,Ellen Gandy,2012
335,GBR,Amy Smith,2012
335,GBR,Jemma Lowe,2012
335,GBR,Siobhan-Marie Oconnor,2012
336,USA,Allison Schmitt,2012
336,USA,Alyssa Anderson,2012
336,USA,Missy Franklin,2012
336,USA,Lauren Perdue,2012
336,USA,Shannon Vreeland,2012
336,USA,Dana Vollmer,2012
337,AUS,Jade Neilsen,2012
337,AUS,Melanie Schlanger,2012
337,AUS,Brittany Elmslie,2012
337,AUS,Angie Bainbridge,2012
337,AUS,Blair Evans,2012
337,AUS,Kylie Palmer,2012
337,AUS,Alicia Coutts,2012
337,AUS,Bronte Barratt,2012
338,FRA,Mylene Lazare,2012
338,FRA,Ophelie-Cyrielle Etienne,2012
338,FRA,Coralie Balmy,2012
338,FRA,Camille Muffat,2012
338,FRA,Charlotte Bonnet,2012
338,FRA,Margaux Farrell,2012
339,CAN,Amanda Reason,2012
339,CAN,Barbara Jardin,2012
339,CAN,Brittany Maclean,2012
339,CAN,Samantha Cheverton,2012
340,GBR,Ellie Faulkner,2012
340,GBR,Caitlin Mcclatchey,2012
340,GBR,Joanne Jackson,2012
340,GBR,Rebecca Turner,2012
340,GBR,Hannah Miley,2012
341,CHN,Qianwei Zhu,2012
341,CHN,Yi Tang,2012
341,CHN,Qian Chen,2012
341,CHN,Jing Liu,2012
341,CHN,Jiaying Pang,2012
341,CHN,Shijia Wang,2012
341,CHN,Shiwen Ye,2012
342,ITA,Alice Mizzau,2012
342,ITA,Federica Pellegrini,2012
342,ITA,Diletta Carli,2012
342,ITA,Alice Nesti,2012
343,JPN,Aya Takano,2012
343,JPN,Haruka Ueda,2012
343,JPN,Hanae Ito,2012
343,JPN,Yayoi Matsumoto,2012
344,NED,Ranomi Kromowidjojo,2012
345,BLR,Aliaksandra Herasimenia,2012
346,NED,Marleen Veldhuis,2012
347,GER,Britta Steffen,2012
348,GBR,Francesca Halsall,2012
349,SWE,Therese Alshammar,2012
350,USA,Jessica Hardy,2012
351,BAH,Arianna Vanderpool-Wallace,2012
352,USA,Katie Ledecky,2012
353,ESP,Mireia Belmonte,2012
354,GBR,Rebecca Adlington,2012
355,NZL,Lauren Boyle,2012
356,DEN,Lotte Friis,2012
357,HUN,Boglarka Kapas,2012
358,FRA,Coralie Balmy,2012
359,VEN,Andreina Pinto,2012
360,USA,Natalie Coughlin,2008
361,ZIM,Kirsty Leigh Coventry,2008
362,USA,Margaret Hoelzer,2008
363,GBR,Gemma Spofforth,2008
364,RUS,Anastasia Zueva,2008
365,JPN,Reiko Nakamura,2008
366,FRA,Laure Manaudou,2008
367,JPN,Hanae Ito,2008
368,AUS,Leisel Jones,2008
369,USA,Rebecca Soni,2008
370,AUT,Mirna Jukic,2008
371,RUS,Yuliya Efimova,2008
372,USA,Megan Quann,2008
373,AUS,Tarnee White,2008
374,CHN,Ye Sun,2008
375,JPN,Asami Kitagawa,2008
376,AUS,Libby Trickett,2008
377,USA,Christine Magnuson,2008
378,AUS,Jessicah Schipper,2008
379,CHN,Yafei Zhou,2008
380,SGP,Li Tao,2008
381,GBR,Jemma Lowe,2008
382,BRA,Gabriella Silva,2008
383,NED,Inge Dekker,2008
384,GER,Britta Steffen,2008
385,AUS,Libby Trickett,2008
386,USA,Natalie Coughlin,2008
387,FIN,Hanna-Maria Seppala,2008
388,DEN,Jeanette Ottesen,2008
389,CHN,Yingwen Zhu,2008
390,NED,Marleen Veldhuis,2008
391,GBR,Francesca Halsall,2008
392,ZIM,Kirsty Leigh Coventry,2008
393,USA,Margaret Hoelzer,2008
394,JPN,Reiko Nakamura,2008
395,RUS,Anastasia Zueva,2008
396,USA,Elizabeth Beisel,2008
397,GBR,Elizabeth Simmonds,2008
398,AUS,Meagen Nay,2008
399,AUS,Belinda Hocking,2008
400,USA,Rebecca Soni,2008
401,AUS,Leisel Jones,2008
402,NOR,Sara Nordenstam,2008
403,AUT,Mirna Jukic,2008
404,RUS,Yuliya Efimova,2008
405,CAN,Annamay Pierse,2008
406,JPN,Rie Kaneto,2008
407,JPN,Megumi Taneda,2008
408,CHN,Zige Liu,2008
409,CHN,Liuyang Jiao,2008
410,AUS,Jessicah Schipper,2008
411,POL,Otylia Jedrzejczak,2008
412,JPN,Yuko Nakanishi,2008
413,FRA,Aurore Mongel,2008
414,USA,Elaine Breeden,2008
415,USA,Kathleen Hersey,2008
416,ITA,Federica Pellegrini,2008
417,SLO,Sara Isakovic,2008
418,CHN,Jiaying Pang,2008
419,USA,Katie Hoff,2008
420,ROU,Camelia Alina Potec,2008
421,GBR,Caitlin Mcclatchey,2008
422,AUS,Bronte Barratt,2008
423,FRA,Ophelie-Cyrielle Etienne,2008
424,AUS,Stephanie Rice,2008
425,ZIM,Kirsty Leigh Coventry,2008
426,USA,Natalie Coughlin,2008
427,USA,Katie Hoff,2008
428,AUS,Alicia Coutts,2008
429,JPN,Asami Kitagawa,2008
430,CAN,Julia Wilkinson,2008
431,POL,Katarzyna Baranowska,2008
432,GBR,Rebecca Adlington,2008
433,USA,Katie Hoff,2008
434,GBR,Joanne Jackson,2008
435,FRA,Coralie Balmy,2008
436,ITA,Federica Pellegrini,2008
437,ROU,Camelia Alina Potec,2008
438,AUS,Bronte Barratt,2008
439,FRA,Laure Manaudou,2008
440,AUS,Stephanie Rice,2008
441,ZIM,Kirsty Leigh Coventry,2008
442,USA,Katie Hoff,2008
443,USA,Elizabeth Beisel,2008
444,ITA,Alessia Filippi,2008
445,GBR,Hannah Miley,2008
446,RUS,Yana Martynova,2008
447,CHN,Xuanxu Li,2008
448,NLD,Ranomi Kromowidjojo,2008
448,NLD,Inge Dekker,2008
448,NLD,Marleen Veldhuis,2008
448,NLD,Hinkelien Schreuder,2008
448,NLD,Manon Van Rooijen,2008
448,NLD,Femke Heemskerk,2008
449,USA,Dara Torres,2008
449,USA,Natalie Coughlin,2008
449,USA,Julia Smit,2008
449,USA,Emily Silver,2008
449,USA,Kara Lynn Joyce,2008
449,USA,Lacey Nymeyer,2008
450,AUS,Cate Campbell,2008
450,AUS,Libby Trickett,2008
450,AUS,Shayne Reese,2008
450,AUS,Alice Mills,2008
450,AUS,Melanie Schlanger,2008
451,CHN,Yi Tang,2008
451,CHN,Yanwei Xu,2008
451,CHN,Jiaying Pang,2008
451,CHN,Yingwen Zhu,2008
452,GER,Antje Buschschulte,2008
452,GER,Meike Freitag,2008
452,GER,Daniela Gotz,2008
452,GER,Britta Steffen,2008
453,FRA,Celine Couderc,2008
453,FRA,Hanna Shcherba-Lorgeril,2008
453,FRA,Alena Popchanka,2008
453,FRA,Malia Metella,2008
453,FRA,Ophelie-Cyrielle Etienne,2008
454,GBR,Jessica Sylvester,2008
454,GBR,Melanie Marshall,2008
454,GBR,Caitlin Mcclatchey,2008
454,GBR,Francesca Halsall,2008
454,GBR,Julia Beckett,2008
455,CAN,Erica Morningstar,2008
455,CAN,Audrey Lacroix,2008
455,CAN,Genevieve Saumur,2008
455,CAN,Julia Wilkinson,2008
456,AUS,Emily Seebohm,2008
456,AUS,Libby Trickett,2008
456,AUS,Shayne Reese,2008
456,AUS,Tarnee White,2008
456,AUS,Leisel Jones,2008
456,AUS,Jessicah Schipper,2008
456,AUS,Felicity Galvez,2008
457,USA,Natalie Coughlin,2008
457,USA,Elaine Breeden,2008
457,USA,Christine Magnuson,2008
457,USA,Dara Torres,2008
457,USA,Kara Lynn Joyce,2008
457,USA,Margaret Hoelzer,2008
457,USA,Rebecca Soni,2008
457,USA,Megan Quann,2008
458,CHN,Tianlongzi Xu,2008
458,CHN,Jing Zhao,2008
458,CHN,Yafei Zhou,2008
458,CHN,Jiaying Pang,2008
458,CHN,Ye Sun,2008
459,GBR,Kate Haywood,2008
459,GBR,Francesca Halsall,2008
459,GBR,Gemma Spofforth,2008
459,GBR,Jemma Lowe,2008
460,RUS,Kseniya Moskvina,2008
460,RUS,Anastasiya Tulapina,2008
460,RUS,Yuliya Efimova,2008
460,RUS,Anastasia Zueva,2008
460,RUS,Natalia Sutyagina,2008
461,JPN,Asami Kitagawa,2008
461,JPN,Yuka Kato,2008
461,JPN,Reiko Nakamura,2008
461,JPN,Hanae Ito,2008
461,JPN,Haruka Ueda,2008
462,CAN,Audrey Lacroix,2008
462,CAN,Annamay Pierse,2008
462,CAN,Erica Morningstar,2008
462,CAN,Julia Wilkinson,2008
463,GER,Antje Buschschulte,2008
463,GER,Daniela Samulski,2008
463,GER,Britta Steffen,2008
463,GER,Sarah Poewe,2008
464,AUS,Stephanie Rice,2008
464,AUS,Lara Davenport,2008
464,AUS,Felicity Galvez,2008
464,AUS,Kylie Palmer,2008
464,AUS,Melanie Schlanger,2008
464,AUS,Linda Mackenzie,2008
464,AUS,Bronte Barratt,2008
464,AUS,Angie Bainbridge,2008
465,CHN,Jiaying Pang,2008
465,CHN,Miao Tan,2008
465,CHN,Qianwei Zhu,2008
465,CHN,Jingzhi Tang,2008
465,CHN,Yu-Ting Yang,2008
466,USA,Caroline Burckle,2008
466,USA,Katie Hoff,2008
466,USA,Christine Marshall,2008
466,USA,Allison Schmitt,2008
466,USA,Julia Smit,2008
466,USA,Natalie Coughlin,2008
466,USA,Kimberly Vandenberg,2008
467,ITA,Alessia Filippi,2008
467,ITA,Alice Carpanese,2008
467,ITA,Federica Pellegrini,2008
467,ITA,Flavia Zoccari,2008
467,ITA,Renata Fabiola Spagnolo,2008
468,FRA,Celine Couderc,2008
468,FRA,Alena Popchanka,2008
468,FRA,Ophelie-Cyrielle Etienne,2008
468,FRA,Camille Muffat,2008
468,FRA,Coralie Balmy,2008
468,FRA,Aurore Mongel,2008
469,HUN,Eszter Dara,2008
469,HUN,Zsuzsanna Jakabos,2008
469,HUN,Evelin Verraszto,2008
469,HUN,Agnes Mutina,2008
470,JPN,Maki Mita,2008
470,JPN,Emi Takanabe,2008
470,JPN,Haruka Ueda,2008
470,JPN,Misaki Yamaguchi,2008
471,SWE,Gabriella Fagundez,2008
471,SWE,Ida Marko-Varga,2008
471,SWE,Petra Granlund,2008
471,SWE,Josefin Lillhage,2008
472,GER,Britta Steffen,2008
473,USA,Dara Torres,2008
474,AUS,Cate Campbell,2008
475,AUS,Libby Trickett,2008
476,NED,Marleen Veldhuis,2008
477,USA,Kara Lynn Joyce,2008
478,NED,Hinkelien Schreuder,2008
479,BLR,Aliaksandra Herasimenia,2008
